status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk,adverse_target,profile_group_id
... < 100 DM,48,no credits taken/all credits paid back duly,car (used),4605,... < 100 DM,... >= 7 years,3,male : single,none,4,unknown/no property,24,none,for free,2,skilled employee/official,2,no,yes,0,1,3367549089713670129
no checking account,12,critical account/other credits existing,others,1185,... < 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,2,real estate,27,none,own,2,skilled employee/official,1,no,yes,1,0,11802532837313452054
no checking account,12,all credits at this bank paid back duly,business,3447,500 <= ... < 1000 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,3,real estate,35,none,own,1,unskilled - resident,2,no,yes,1,0,9521677280288006617
no checking account,24,existing credits paid back duly till now,others,1258,... < 100 DM,4 <= ... < 7 years,4,male : single,none,1,real estate,25,none,own,1,skilled employee/official,1,yes,yes,1,0,4313877796662264654
no checking account,12,critical account/other credits existing,domestic appliances,717,... < 100 DM,... >= 7 years,4,male : single,none,4,real estate,52,none,own,3,skilled employee/official,1,no,yes,1,0,1676604666085732266
no checking account,6,no credits taken/all credits paid back duly,car (new),1204,100 <= ... < 500 DM,1 <= ... < 4 years,4,male : single,none,1,unknown/no property,35,bank,rent,1,skilled employee/official,1,no,no,1,0,7900200684393588573
... >= 200 DM / salary for at least 1 year,24,existing credits paid back duly till now,radio/television,1925,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,real estate,26,none,own,1,skilled employee/official,1,no,yes,1,0,17570874675762776375
no checking account,18,existing credits paid back duly till now,domestic appliances,433,... < 100 DM,unemployed,3,female : divorced/separated/married,co-applicant,4,real estate,22,none,rent,1,skilled employee/official,1,no,yes,0,1,13419220313855745620
... < 100 DM,6,critical account/other credits existing,car (new),666,... >= 1000 DM,4 <= ... < 7 years,3,female : divorced/separated/married,none,4,real estate,39,none,own,2,unskilled - resident,1,yes,yes,1,0,6278756542737531601
... >= 200 DM / salary for at least 1 year,12,existing credits paid back duly till now,radio/television,2251,... < 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,2,car or other,46,none,own,1,unskilled - resident,1,no,yes,1,0,5533162073607222411
0 <= ... < 200 DM,30,existing credits paid back duly till now,car (new),2150,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,guarantor,2,unknown/no property,24,bank,own,1,skilled employee/official,1,no,yes,0,1,9911516753108558214
no checking account,24,delay in paying off in the past,radio/television,4151,100 <= ... < 500 DM,1 <= ... < 4 years,2,male : single,none,3,building society savings agreement/life insurance,35,none,own,2,skilled employee/official,1,no,yes,1,0,6799573020558686428
0 <= ... < 200 DM,9,existing credits paid back duly till now,radio/television,2030,unknown/no savings account,4 <= ... < 7 years,2,male : single,none,1,car or other,24,none,own,1,skilled employee/official,1,yes,yes,1,0,15520429986222056742
0 <= ... < 200 DM,60,delay in paying off in the past,domestic appliances,7418,unknown/no savings account,1 <= ... < 4 years,1,male : single,none,1,real estate,27,none,own,1,unskilled - resident,1,no,yes,1,0,17351107430806713106
no checking account,24,critical account/other credits existing,domestic appliances,2684,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,real estate,35,none,own,2,unskilled - resident,1,no,yes,1,0,9817562226322023138
... < 100 DM,12,all credits at this bank paid back duly,domestic appliances,2149,... < 100 DM,1 <= ... < 4 years,4,male : divorced/separated,none,1,unknown/no property,29,none,for free,1,skilled employee/official,1,no,yes,0,1,347946792547218931
no checking account,15,existing credits paid back duly till now,car (used),3812,100 <= ... < 500 DM,... < 1 year,1,female : divorced/separated/married,none,4,car or other,23,none,own,1,skilled employee/official,1,yes,yes,1,0,7310520697592350545
no checking account,11,critical account/other credits existing,domestic appliances,1154,100 <= ... < 500 DM,unemployed,4,female : divorced/separated/married,none,4,real estate,57,none,own,3,unskilled - resident,1,no,yes,1,0,4693552168122012606
... < 100 DM,12,existing credits paid back duly till now,radio/television,1657,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,real estate,27,none,own,1,skilled employee/official,1,no,yes,1,0,5188957060298341440
... < 100 DM,24,existing credits paid back duly till now,domestic appliances,1603,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,none,4,car or other,55,none,own,1,skilled employee/official,1,no,yes,1,0,2336389221899273243
... < 100 DM,18,critical account/other credits existing,car (new),5302,... < 100 DM,... >= 7 years,2,male : single,none,4,unknown/no property,36,none,for free,3,management/self-employed/highly qualified employee/officer,1,yes,yes,1,0,16289534543423552412
no checking account,12,critical account/other credits existing,retraining,2748,... < 100 DM,... >= 7 years,2,female : divorced/separated/married,none,4,unknown/no property,57,bank,for free,3,unskilled - resident,1,no,yes,1,0,10742134926460841265
no checking account,10,critical account/other credits existing,car (new),1231,... < 100 DM,... >= 7 years,3,male : single,none,4,real estate,32,none,own,2,unskilled - resident,2,no,no,1,0,301858830684526010
0 <= ... < 200 DM,15,existing credits paid back duly till now,domestic appliances,802,... < 100 DM,... >= 7 years,4,male : single,none,3,car or other,37,none,own,1,skilled employee/official,2,no,yes,0,1,13067485802496852749
no checking account,36,critical account/other credits existing,others,6304,unknown/no savings account,... >= 7 years,4,male : single,none,4,real estate,36,none,own,2,skilled employee/official,1,no,yes,1,0,6262321055144430596
no checking account,24,existing credits paid back duly till now,domestic appliances,1533,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,3,car or other,38,stores,own,1,skilled employee/official,1,yes,yes,1,0,13589639731527931875
... < 100 DM,14,existing credits paid back duly till now,car (new),8978,... < 100 DM,... >= 7 years,1,male : divorced/separated,none,4,building society savings agreement/life insurance,45,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,no,0,1,13363405132958355193
no checking account,24,existing credits paid back duly till now,domestic appliances,999,unknown/no savings account,... >= 7 years,4,male : single,none,2,car or other,25,none,own,2,skilled employee/official,1,no,yes,1,0,10533325080821069892
no checking account,18,existing credits paid back duly till now,car (new),2662,unknown/no savings account,4 <= ... < 7 years,4,male : single,none,3,building society savings agreement/life insurance,32,none,own,1,skilled employee/official,1,no,no,1,0,14705868400697461819
no checking account,12,critical account/other credits existing,radio/television,1402,500 <= ... < 1000 DM,4 <= ... < 7 years,3,female : divorced/separated/married,none,4,car or other,37,none,rent,1,skilled employee/official,1,yes,yes,1,0,380860727121063395
0 <= ... < 200 DM,48,all credits at this bank paid back duly,car (new),12169,unknown/no savings account,unemployed,4,male : single,co-applicant,4,unknown/no property,36,none,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1,0,3580791241894177545
0 <= ... < 200 DM,48,existing credits paid back duly till now,domestic appliances,3060,... < 100 DM,4 <= ... < 7 years,4,male : single,none,4,real estate,28,none,own,2,skilled employee/official,1,no,yes,0,1,18373197377755846308
... < 100 DM,30,existing credits paid back duly till now,education,11998,... < 100 DM,... < 1 year,1,male : divorced/separated,none,1,unknown/no property,34,none,own,1,unskilled - resident,1,yes,yes,0,1,4219490765623412399
no checking account,9,existing credits paid back duly till now,domestic appliances,2697,... < 100 DM,1 <= ... < 4 years,1,male : single,none,2,real estate,32,none,own,1,skilled employee/official,2,no,yes,1,0,9216208116134002414
no checking account,18,critical account/other credits existing,domestic appliances,2404,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,car or other,26,none,own,2,skilled employee/official,1,no,yes,1,0,16086295586430998699
... < 100 DM,12,existing credits paid back duly till now,radio/television,1262,unknown/no savings account,... >= 7 years,2,male : divorced/separated,none,4,building society savings agreement/life insurance,49,none,own,1,unskilled - resident,1,yes,yes,1,0,10866500125589451465
no checking account,6,existing credits paid back duly till now,radio/television,4611,... < 100 DM,... < 1 year,1,female : divorced/separated/married,none,4,building society savings agreement/life insurance,32,none,own,1,skilled employee/official,1,no,yes,0,1,17103979427122287201
no checking account,24,existing credits paid back duly till now,domestic appliances,1901,100 <= ... < 500 DM,1 <= ... < 4 years,4,male : single,none,4,car or other,29,none,rent,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1,0,4019693630835748092
no checking account,15,critical account/other credits existing,car (used),3368,... >= 1000 DM,... >= 7 years,3,male : single,none,4,unknown/no property,23,none,rent,2,skilled employee/official,1,yes,yes,1,0,5792586920985382469
no checking account,12,existing credits paid back duly till now,radio/television,1574,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,real estate,50,none,own,1,skilled employee/official,1,no,yes,1,0,11209905273133719804
... >= 200 DM / salary for at least 1 year,18,all credits at this bank paid back duly,domestic appliances,1445,unknown/no savings account,4 <= ... < 7 years,4,male : single,none,4,car or other,49,bank,own,1,unskilled - resident,1,no,yes,1,0,15431937467998645903
no checking account,15,critical account/other credits existing,radio/television,1520,unknown/no savings account,... >= 7 years,4,male : single,none,4,building society savings agreement/life insurance,63,none,own,1,skilled employee/official,1,no,yes,1,0,15372598807812713801
0 <= ... < 200 DM,24,critical account/other credits existing,car (new),3878,100 <= ... < 500 DM,... < 1 year,4,male : divorced/separated,none,2,car or other,37,none,own,1,skilled employee/official,1,yes,yes,1,0,11621472226542983972
... < 100 DM,47,existing credits paid back duly till now,car (new),10722,... < 100 DM,... < 1 year,1,female : divorced/separated/married,none,1,real estate,35,none,own,1,unskilled - resident,1,yes,yes,1,0,12717946153871770297
... < 100 DM,48,existing credits paid back duly till now,car (used),4788,... < 100 DM,4 <= ... < 7 years,4,male : single,none,3,building society savings agreement/life insurance,26,none,own,1,skilled employee/official,2,no,yes,1,0,11447472272053379182
0 <= ... < 200 DM,48,delay in paying off in the past,furniture/equipment,7582,100 <= ... < 500 DM,unemployed,2,male : single,none,4,unknown/no property,31,none,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1,0,8421604077512915244
0 <= ... < 200 DM,12,existing credits paid back duly till now,domestic appliances,1092,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,guarantor,4,real estate,49,none,own,2,skilled employee/official,1,yes,yes,1,0,1836882464876789635
... < 100 DM,24,delay in paying off in the past,domestic appliances,1024,... < 100 DM,... < 1 year,4,male : married/widowed,none,4,real estate,48,stores,own,1,skilled employee/official,1,no,yes,0,1,2786996585449795389
no checking account,12,existing credits paid back duly till now,others,1076,... < 100 DM,1 <= ... < 4 years,2,male : married/widowed,none,2,real estate,26,none,own,1,skilled employee/official,1,yes,no,1,0,15267266458055694343
0 <= ... < 200 DM,36,existing credits paid back duly till now,car (used),9398,... < 100 DM,... < 1 year,1,male : married/widowed,none,4,car or other,28,none,rent,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0,1,2464197577466934541
... < 100 DM,24,critical account/other credits existing,car (used),6419,... < 100 DM,... >= 7 years,2,female : divorced/separated/married,none,4,unknown/no property,44,none,for free,2,management/self-employed/highly qualified employee/officer,2,yes,yes,1,0,3339536800301430362
... >= 200 DM / salary for at least 1 year,42,critical account/other credits existing,car (used),4796,... < 100 DM,... >= 7 years,4,male : single,none,4,unknown/no property,56,none,for free,1,skilled employee/official,1,no,yes,1,0,17706584224982578273
no checking account,48,critical account/other credits existing,others,7629,unknown/no savings account,... >= 7 years,4,male : divorced/separated,none,2,car or other,46,bank,own,2,management/self-employed/highly qualified employee/officer,2,no,yes,1,0,5669790628443548446
0 <= ... < 200 DM,48,existing credits paid back duly till now,radio/television,9960,... < 100 DM,... < 1 year,1,female : divorced/separated/married,none,2,car or other,26,none,own,1,skilled employee/official,1,yes,yes,0,1,13700270932973110883
no checking account,12,existing credits paid back duly till now,car (used),4675,unknown/no savings account,... < 1 year,1,female : divorced/separated/married,none,4,car or other,20,none,rent,1,skilled employee/official,1,no,yes,1,0,944735469542593900
no checking account,10,existing credits paid back duly till now,car (new),1287,unknown/no savings account,... >= 7 years,4,male : single,co-applicant,2,building society savings agreement/life insurance,45,none,own,1,unskilled - resident,1,no,no,1,0,605485567730789676
no checking account,18,existing credits paid back duly till now,radio/television,2515,... < 100 DM,1 <= ... < 4 years,3,male : single,none,4,real estate,43,none,own,1,skilled employee/official,1,yes,yes,1,0,13547778227999334661
0 <= ... < 200 DM,21,critical account/other credits existing,radio/television,2745,... >= 1000 DM,4 <= ... < 7 years,3,male : single,none,2,car or other,32,none,own,2,skilled employee/official,1,yes,yes,1,0,14740374683245228204
no checking account,6,existing credits paid back duly till now,car (new),672,... < 100 DM,unemployed,1,female : divorced/separated/married,none,4,real estate,54,none,own,1,unemployed/unskilled - non-resident,1,yes,yes,1,0,6148793336064280813
0 <= ... < 200 DM,36,no credits taken/all credits paid back duly,domestic appliances,3804,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,1,car or other,42,none,own,1,skilled employee/official,1,yes,yes,0,1,3434166110163930724
... >= 200 DM / salary for at least 1 year,24,critical account/other credits existing,car (new),1344,unknown/no savings account,4 <= ... < 7 years,4,male : single,none,2,real estate,37,bank,own,2,unskilled - resident,2,no,yes,0,1,8908627795873708966
... < 100 DM,10,critical account/other credits existing,car (new),1038,... < 100 DM,4 <= ... < 7 years,4,male : single,co-applicant,3,building society savings agreement/life insurance,49,none,own,2,skilled employee/official,1,yes,yes,1,0,10279799068655233491
no checking account,48,critical account/other credits existing,car (new),10127,500 <= ... < 1000 DM,1 <= ... < 4 years,2,male : single,none,2,unknown/no property,44,bank,for free,1,skilled employee/official,1,no,yes,0,1,8776961871318375816
no checking account,6,existing credits paid back duly till now,radio/television,1543,... >= 1000 DM,1 <= ... < 4 years,4,male : divorced/separated,none,2,real estate,33,none,own,1,skilled employee/official,1,no,yes,1,0,9898169464194860745
no checking account,30,existing credits paid back duly till now,car (used),4811,unknown/no savings account,4 <= ... < 7 years,2,female : divorced/separated/married,none,4,building society savings agreement/life insurance,24,stores,rent,1,unskilled - resident,1,no,yes,1,0,208479714481481332
... < 100 DM,12,existing credits paid back duly till now,domestic appliances,727,100 <= ... < 500 DM,... < 1 year,4,male : married/widowed,none,3,unknown/no property,33,none,own,1,unskilled - resident,1,yes,yes,0,1,10819830240745654175
0 <= ... < 200 DM,8,existing credits paid back duly till now,radio/television,1237,... < 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,4,real estate,24,none,own,1,skilled employee/official,1,no,yes,0,1,5926680885739733694
0 <= ... < 200 DM,9,existing credits paid back duly till now,car (new),276,... < 100 DM,1 <= ... < 4 years,4,male : married/widowed,none,4,real estate,22,none,rent,1,unskilled - resident,1,no,yes,1,0,16333297921873918815
0 <= ... < 200 DM,48,existing credits paid back duly till now,furniture/equipment,5381,unknown/no savings account,unemployed,3,male : single,none,4,unknown/no property,40,bank,for free,1,unemployed/unskilled - non-resident,1,yes,yes,1,0,14647933758560257985
no checking account,24,existing credits paid back duly till now,radio/television,5511,100 <= ... < 500 DM,1 <= ... < 4 years,4,male : single,none,1,car or other,25,stores,own,1,skilled employee/official,1,no,yes,1,0,83357198543080790
... >= 200 DM / salary for at least 1 year,24,existing credits paid back duly till now,radio/television,3749,... < 100 DM,... < 1 year,2,female : divorced/separated/married,none,4,car or other,26,none,own,1,skilled employee/official,1,no,yes,1,0,1688993806250928728
0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),685,... < 100 DM,4 <= ... < 7 years,2,male : married/widowed,none,3,car or other,25,bank,own,1,unskilled - resident,1,no,yes,0,1,12804386686412204451
... >= 200 DM / salary for at least 1 year,4,existing credits paid back duly till now,car (new),1494,unknown/no savings account,... < 1 year,1,male : single,none,2,real estate,29,none,own,1,unskilled - resident,2,no,no,1,0,10739541547683906107
... < 100 DM,36,all credits at this bank paid back duly,radio/television,2746,... < 100 DM,... >= 7 years,4,male : single,none,4,car or other,31,bank,own,1,skilled employee/official,1,no,yes,0,1,14763637671171517457
... < 100 DM,12,existing credits paid back duly till now,radio/television,708,... < 100 DM,1 <= ... < 4 years,2,male : single,guarantor,3,building society savings agreement/life insurance,38,none,own,1,unskilled - resident,2,no,yes,1,0,17027305354910072592
0 <= ... < 200 DM,24,existing credits paid back duly till now,radio/television,4351,unknown/no savings account,1 <= ... < 4 years,1,female : divorced/separated/married,none,4,building society savings agreement/life insurance,48,none,own,1,unskilled - resident,1,yes,yes,1,0,5268000293531077597
no checking account,12,critical account/other credits existing,retraining,701,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,car or other,32,none,own,2,skilled employee/official,1,no,yes,1,0,5249723461311226500
... < 100 DM,15,delay in paying off in the past,radio/television,3643,... < 100 DM,... >= 7 years,1,female : divorced/separated/married,none,4,building society savings agreement/life insurance,27,none,own,2,unskilled - resident,1,no,yes,1,0,7972869938904939270
0 <= ... < 200 DM,30,critical account/other credits existing,car (new),4249,... < 100 DM,unemployed,4,male : married/widowed,none,2,car or other,28,none,own,2,management/self-employed/highly qualified employee/officer,1,no,yes,0,1,4922014730663189268
... < 100 DM,24,existing credits paid back duly till now,domestic appliances,1938,... < 100 DM,... < 1 year,4,male : divorced/separated,none,3,building society savings agreement/life insurance,32,none,own,1,skilled employee/official,1,no,yes,0,1,14059050881218761071
... < 100 DM,24,existing credits paid back duly till now,car (used),2910,... < 100 DM,4 <= ... < 7 years,2,male : single,none,1,unknown/no property,34,none,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1,0,1806436084585469463
... < 100 DM,18,existing credits paid back duly till now,radio/television,2659,... >= 1000 DM,1 <= ... < 4 years,4,male : single,none,2,car or other,28,none,own,1,skilled employee/official,1,no,yes,1,0,13126853376270043955
no checking account,18,critical account/other credits existing,car (new),1028,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,3,real estate,36,none,own,2,skilled employee/official,1,no,yes,1,0,2407568805968297860
... < 100 DM,8,critical account/other credits existing,car (new),3398,... < 100 DM,4 <= ... < 7 years,1,male : single,none,4,real estate,39,none,own,2,unskilled - resident,1,no,no,1,0,6830291280957648453
no checking account,12,critical account/other credits existing,radio/television,5801,unknown/no savings account,... >= 7 years,2,male : single,none,4,building society savings agreement/life insurance,49,none,rent,1,skilled employee/official,1,yes,yes,1,0,14327014343553329322
no checking account,24,existing credits paid back duly till now,car (new),1525,... >= 1000 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,3,car or other,34,none,own,1,skilled employee/official,2,yes,yes,1,0,6353007556602791808
... >= 200 DM / salary for at least 1 year,36,existing credits paid back duly till now,domestic appliances,4473,... < 100 DM,... >= 7 years,4,male : single,none,2,car or other,31,none,own,1,skilled employee/official,1,no,yes,1,0,3190181686702135344
0 <= ... < 200 DM,6,existing credits paid back duly till now,domestic appliances,1068,... < 100 DM,... >= 7 years,4,male : single,none,4,car or other,28,none,own,1,skilled employee/official,2,no,yes,1,0,2114629114143358712
... < 100 DM,24,critical account/other credits existing,car (used),6615,... < 100 DM,unemployed,2,male : single,none,4,unknown/no property,75,none,for free,2,management/self-employed/highly qualified employee/officer,1,yes,yes,1,0,2957192038186169829
no checking account,18,critical account/other credits existing,retraining,1864,100 <= ... < 500 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,real estate,30,none,own,2,skilled employee/official,1,no,yes,0,1,16930503930552875935
0 <= ... < 200 DM,60,existing credits paid back duly till now,car (new),7408,100 <= ... < 500 DM,... < 1 year,4,female : divorced/separated/married,none,2,building society savings agreement/life insurance,24,none,own,1,management/self-employed/highly qualified employee/officer,1,no,yes,0,1,9444348136511145792
no checking account,48,critical account/other credits existing,car (used),11590,100 <= ... < 500 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,4,car or other,24,bank,rent,2,unskilled - resident,1,no,yes,0,1,15804663412776944906
... < 100 DM,24,no credits taken/all credits paid back duly,radio/television,4110,... < 100 DM,... >= 7 years,3,male : single,none,4,unknown/no property,23,bank,rent,2,skilled employee/official,2,no,yes,0,1,1800393253322720826
... < 100 DM,6,critical account/other credits existing,radio/television,3384,... < 100 DM,1 <= ... < 4 years,1,male : divorced/separated,none,4,real estate,44,none,rent,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0,1,14536963199032237465
0 <= ... < 200 DM,13,existing credits paid back duly till now,domestic appliances,2101,... < 100 DM,... < 1 year,2,female : divorced/separated/married,guarantor,4,building society savings agreement/life insurance,23,none,own,1,unskilled - resident,1,no,yes,1,0,18062653404392183685
... < 100 DM,15,existing credits paid back duly till now,repairs,1275,unknown/no savings account,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,car or other,24,none,rent,1,skilled employee/official,1,no,yes,0,1,4840172878601789592
... < 100 DM,24,existing credits paid back duly till now,radio/television,4169,... < 100 DM,1 <= ... < 4 years,4,male : single,none,4,building society savings agreement/life insurance,28,none,own,1,skilled employee/official,1,no,yes,1,0,18223154931730999491
0 <= ... < 200 DM,10,existing credits paid back duly till now,radio/television,1521,... < 100 DM,1 <= ... < 4 years,4,male : divorced/separated,none,2,car or other,31,none,own,1,unskilled - resident,1,no,yes,1,0,12151896262655991761
0 <= ... < 200 DM,24,critical account/other credits existing,retraining,5743,... < 100 DM,... < 1 year,2,female : divorced/separated/married,none,4,unknown/no property,24,none,for free,2,skilled employee/official,1,yes,yes,1,0,17114564619393313288
... < 100 DM,21,existing credits paid back duly till now,radio/television,3599,... < 100 DM,4 <= ... < 7 years,1,female : divorced/separated/married,none,4,car or other,26,none,rent,1,unskilled - resident,1,no,yes,1,0,12919213312346343494
0 <= ... < 200 DM,18,existing credits paid back duly till now,domestic appliances,3213,500 <= ... < 1000 DM,... < 1 year,1,male : married/widowed,none,3,real estate,25,none,rent,1,skilled employee/official,1,no,yes,1,0,5440663429856860774
0 <= ... < 200 DM,18,existing credits paid back duly till now,others,4439,... < 100 DM,... >= 7 years,1,male : single,co-applicant,1,real estate,33,bank,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1,0,1343874898425829442
... >= 200 DM / salary for at least 1 year,10,existing credits paid back duly till now,car (new),3949,... < 100 DM,... < 1 year,1,male : single,guarantor,1,building society savings agreement/life insurance,37,none,own,1,unskilled - resident,2,no,yes,1,0,11487683584479268473
no checking account,15,critical account/other credits existing,domestic appliances,1459,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,car or other,43,none,own,1,unskilled - resident,1,no,yes,1,0,1223443717706842844
0 <= ... < 200 DM,13,critical account/other credits existing,domestic appliances,882,... < 100 DM,... < 1 year,4,male : single,guarantor,4,real estate,23,none,own,2,skilled employee/official,1,no,yes,1,0,10305111993790461986
0 <= ... < 200 DM,24,existing credits paid back duly till now,domestic appliances,3758,500 <= ... < 1000 DM,unemployed,1,female : divorced/separated/married,none,4,unknown/no property,23,none,rent,1,unemployed/unskilled - non-resident,1,no,yes,1,0,2139278094504868322
no checking account,6,delay in paying off in the past,others,1743,100 <= ... < 500 DM,1 <= ... < 4 years,1,male : single,none,2,real estate,34,none,own,2,unskilled - resident,1,no,yes,1,0,4472829593935192683
0 <= ... < 200 DM,9,critical account/other credits existing,retraining,1136,... >= 1000 DM,... >= 7 years,4,male : single,none,3,unknown/no property,32,none,for free,2,skilled employee/official,2,no,yes,0,1,188701007203122782
no checking account,9,existing credits paid back duly till now,repairs,1236,... < 100 DM,... < 1 year,1,female : divorced/separated/married,none,4,real estate,23,none,rent,1,skilled employee/official,1,yes,yes,1,0,2189263879032101086
0 <= ... < 200 DM,9,existing credits paid back duly till now,radio/television,959,... < 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,2,car or other,29,none,own,1,skilled employee/official,1,no,no,0,1,8018100548575585989
no checking account,18,critical account/other credits existing,car (used),3229,unknown/no savings account,unemployed,2,male : single,none,4,unknown/no property,38,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1,0,15149529952668976756
... < 100 DM,12,no credits taken/all credits paid back duly,domestic appliances,6199,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,building society savings agreement/life insurance,28,none,rent,2,skilled employee/official,1,yes,yes,0,1,2901983639273687298
no checking account,10,existing credits paid back duly till now,retraining,727,500 <= ... < 1000 DM,... >= 7 years,4,male : single,none,4,unknown/no property,46,none,for free,1,skilled employee/official,1,yes,yes,1,0,16065037174968917106
0 <= ... < 200 DM,24,existing credits paid back duly till now,car (new),1246,... < 100 DM,... < 1 year,4,male : single,none,2,real estate,23,stores,own,1,unskilled - resident,1,no,yes,0,1,8608214045590098515
no checking account,12,critical account/other credits existing,domestic appliances,2331,unknown/no savings account,... >= 7 years,1,male : single,co-applicant,4,real estate,49,none,own,1,skilled employee/official,1,yes,yes,1,0,13563883911617213165
no checking account,36,delay in paying off in the past,domestic appliances,4463,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,car or other,26,none,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,0,1,16821101422603302309
no checking account,12,existing credits paid back duly till now,domestic appliances,776,... < 100 DM,1 <= ... < 4 years,4,male : married/widowed,none,2,real estate,28,none,own,1,skilled employee/official,1,no,yes,1,0,5222347038594859498
... < 100 DM,30,existing credits paid back duly till now,radio/television,2406,... < 100 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,4,real estate,23,none,rent,1,skilled employee/official,1,no,yes,0,1,15882751655486637642
0 <= ... < 200 DM,18,existing credits paid back duly till now,retraining,1239,unknown/no savings account,1 <= ... < 4 years,4,male : single,none,4,unknown/no property,61,none,for free,1,skilled employee/official,1,no,yes,1,0,10804272912516340596
... >= 200 DM / salary for at least 1 year,12,existing credits paid back duly till now,domestic appliances,3399,unknown/no savings account,... >= 7 years,2,male : single,none,3,car or other,37,none,own,1,management/self-employed/highly qualified employee/officer,1,no,yes,1,0,13737184615447011010
... >= 200 DM / salary for at least 1 year,12,delay in paying off in the past,car (new),2247,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,car or other,36,stores,own,2,skilled employee/official,1,yes,yes,1,0,16348372944337554465
no checking account,6,existing credits paid back duly till now,radio/television,1766,... < 100 DM,1 <= ... < 4 years,1,male : married/widowed,none,2,building society savings agreement/life insurance,21,none,rent,1,skilled employee/official,1,no,yes,1,0,4799100939602656127
... < 100 DM,18,existing credits paid back duly till now,radio/television,2473,... < 100 DM,unemployed,4,male : single,none,1,car or other,25,none,own,1,unemployed/unskilled - non-resident,1,no,yes,0,1,9326094657895636597
no checking account,12,existing credits paid back duly till now,others,1542,... < 100 DM,4 <= ... < 7 years,2,male : single,none,4,car or other,36,none,own,1,skilled employee/official,1,yes,yes,1,0,14313233845988779015
no checking account,18,critical account/other credits existing,car (used),3850,... < 100 DM,4 <= ... < 7 years,3,male : single,none,1,car or other,27,none,own,2,skilled employee/official,1,no,yes,1,0,11266661040734703683
... < 100 DM,18,existing credits paid back duly till now,radio/television,3650,... < 100 DM,... < 1 year,1,female : divorced/separated/married,none,4,car or other,22,none,rent,1,skilled employee/official,1,no,yes,1,0,3239639236864081998
... < 100 DM,36,existing credits paid back duly till now,radio/television,3446,... < 100 DM,... >= 7 years,4,male : single,none,2,car or other,42,none,own,1,skilled employee/official,2,no,yes,0,1,16510354072928952503
0 <= ... < 200 DM,18,existing credits paid back duly till now,radio/television,3001,... < 100 DM,4 <= ... < 7 years,2,female : divorced/separated/married,none,4,real estate,40,none,rent,1,skilled employee/official,1,no,yes,1,0,10620962835379500611
no checking account,36,existing credits paid back duly till now,car (new),3079,unknown/no savings account,1 <= ... < 4 years,4,male : single,none,4,real estate,36,none,own,1,skilled employee/official,1,no,yes,1,0,10248826861524869764
no checking account,18,critical account/other credits existing,domestic appliances,6070,... < 100 DM,... >= 7 years,3,male : single,none,4,car or other,33,none,own,2,skilled employee/official,1,yes,yes,1,0,5078293720294512021
no checking account,10,critical account/other credits existing,radio/television,2146,... < 100 DM,... < 1 year,1,female : divorced/separated/married,none,3,real estate,23,none,rent,2,skilled employee/official,1,no,yes,1,0,12011284504450681731
