a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,class,adverse_target,profile_group_id
code_1,29.58,4.75,code_2,code_7,code_4,2.0,code_0,code_1,1,code_1,code_2,460,69,0,1,17951956078124160136
code_1,43.17,2.25,code_2,code_3,code_5,0.75,code_1,code_0,0,code_0,code_2,560,1,0,1,13025967812321344477
code_1,28.75,1.165,code_2,code_4,code_4,0.5,code_1,code_0,0,code_0,code_1,280,1,0,1,2004689024836578154
code_1,31.57,3.0,code_1,code_3,code_5,7.0,code_0,code_0,0,code_0,code_2,0,2,0,1,17372557216812837069
code_1,20.25,9.96,code_2,code_10,code_2,0.0,code_1,code_0,0,code_0,code_2,0,1,1,0,10237187342968781779
code_1,45.0,8.5,code_2,code_13,code_8,14.0,code_1,code_1,1,code_1,code_2,88,2001,1,0,3563539587066961474
code_0,22.83,2.29,code_2,code_11,code_8,2.29,code_1,code_1,7,code_1,code_2,140,2385,1,0,9146463586231354341
code_0,20.67,3.0,code_2,code_11,code_4,0.165,code_1,code_1,3,code_0,code_2,100,7,1,0,4905851277250749848
code_1,27.83,1.5,code_2,code_9,code_4,2.25,code_0,code_1,1,code_1,code_2,100,4,0,1,16328421454166130315
code_1,40.92,2.25,code_1,code_14,code_8,10.0,code_1,code_0,0,code_1,code_2,176,1,0,1,18158459861518455652
code_1,56.42,28.0,code_1,code_8,code_4,28.5,code_1,code_1,40,code_0,code_2,0,16,1,0,16316078983180128313
code_0,64.08,0.165,code_2,code_1,code_1,0.0,code_1,code_1,1,code_0,code_2,232,101,1,0,2795748480536611804
code_0,22.42,11.25,code_1,code_14,code_8,0.75,code_1,code_1,4,code_0,code_2,0,322,1,0,11722787214776057173
code_0,24.33,2.5,code_1,code_3,code_5,4.5,code_0,code_0,0,code_0,code_2,200,457,0,1,17495597855276630994
code_0,69.5,6.0,code_2,code_1,code_1,0.0,code_0,code_0,0,code_0,code_1,0,1,0,1,14558673134654018625
code_1,35.58,0.75,code_2,code_4,code_4,1.5,code_0,code_0,0,code_1,code_2,231,1,0,1,18435445220892827969
code_1,48.33,12.0,code_2,code_7,code_4,16.0,code_1,code_0,0,code_0,code_1,110,1,1,0,18399245461902033083
code_0,28.08,15.0,code_1,code_10,code_9,0.0,code_1,code_0,0,code_0,code_2,0,13213,1,0,10956356085988533488
code_1,35.17,2.5,code_2,code_4,code_4,4.5,code_1,code_1,7,code_0,code_2,150,1271,1,0,11700269871980517368
code_1,49.5,7.585,code_2,code_3,code_5,7.585,code_1,code_1,15,code_1,code_2,0,5001,1,0,2777827498946048751
code_1,80.25,5.5,code_2,code_8,code_4,0.54,code_1,code_0,0,code_0,code_2,0,341,0,1,10717954740018816723
code_1,29.25,13.0,code_2,code_2,code_8,0.5,code_0,code_0,0,code_0,code_2,228,1,0,1,14823109489862339004
code_0,16.92,0.5,code_2,code_3,code_4,0.165,code_0,code_1,6,code_1,code_2,240,36,0,1,15212526345074973991
code_0,16.0,0.165,code_2,code_6,code_4,1.0,code_0,code_1,2,code_1,code_2,320,2,0,1,10050935061486117400
code_1,60.08,14.5,code_2,code_1,code_1,18.0,code_1,code_1,15,code_1,code_2,0,1001,1,0,11681170439785557610
code_1,28.0,2.0,code_2,code_4,code_8,4.165,code_1,code_1,2,code_1,code_2,181,1,1,0,7316059603906765956
code_1,41.5,1.54,code_2,code_3,code_5,3.5,code_0,code_0,0,code_0,code_2,216,1,1,0,4766490095377517356
code_1,24.08,9.0,code_2,code_6,code_4,0.25,code_0,code_0,0,code_1,code_2,0,1,0,1,7231697651760516737
code_1,24.5,13.335,code_1,code_6,code_4,0.04,code_0,code_0,0,code_1,code_2,120,476,0,1,11543231970823070821
code_1,34.75,15.0,code_2,code_12,code_7,5.375,code_1,code_1,9,code_1,code_2,0,135,1,0,5592812676722262291
code_1,33.67,1.25,code_2,code_9,code_4,1.165,code_0,code_0,0,code_0,code_2,120,1,0,1,1787935118850366028
code_0,40.83,10.0,code_2,code_11,code_8,1.75,code_1,code_0,0,code_0,code_2,29,838,1,0,10282887318106913454
code_1,20.42,1.835,code_2,code_8,code_4,2.25,code_1,code_1,1,code_0,code_2,100,151,1,0,16652629387631489863
code_1,37.5,1.125,code_1,code_2,code_4,1.5,code_0,code_0,0,code_1,code_2,431,1,1,0,16135453749294912745
code_1,48.5,4.25,code_2,code_7,code_4,0.125,code_1,code_0,0,code_1,code_2,225,1,1,0,14371421584614648318
code_1,23.0,0.75,code_2,code_7,code_4,0.5,code_0,code_0,0,code_1,code_1,320,1,0,1,18381378680088852870
code_1,35.0,3.375,code_2,code_8,code_8,8.29,code_0,code_0,0,code_1,code_2,0,1,0,1,18382575523799127918
code_1,16.33,2.75,code_2,code_6,code_4,0.665,code_0,code_1,1,code_0,code_2,80,22,0,1,6976660280526710783
code_1,22.67,10.5,code_2,code_11,code_8,1.335,code_1,code_0,0,code_0,code_2,100,1,1,0,10462500103904977702
code_0,21.75,11.75,code_2,code_8,code_4,0.25,code_0,code_0,0,code_1,code_2,180,1,0,1,287391664599107888
code_0,25.08,2.54,code_1,code_6,code_4,0.25,code_1,code_0,0,code_1,code_2,370,1,1,0,4970630593206791550
code_1,36.33,2.125,code_1,code_9,code_4,0.085,code_1,code_1,1,code_0,code_2,50,1188,1,0,18108287504354322889
code_0,28.58,3.75,code_2,code_8,code_4,0.25,code_0,code_1,1,code_1,code_2,40,155,0,1,3653791898453751351
code_1,22.17,12.125,code_2,code_8,code_4,3.335,code_0,code_1,2,code_1,code_2,180,174,0,1,18124259899968577429
code_1,34.17,1.54,code_2,code_13,code_4,1.54,code_1,code_1,1,code_1,code_2,520,50001,1,0,10451251566476686674
code_1,35.0,2.5,code_2,code_3,code_4,1.0,code_0,code_0,0,code_1,code_2,210,1,0,1,363060730724269817
code_1,28.58,3.625,code_2,code_6,code_4,0.25,code_0,code_0,0,code_1,code_2,100,1,0,1,14250700075500429506
code_0,19.17,5.415,code_2,code_3,code_8,0.29,code_0,code_0,0,code_0,code_2,80,485,0,1,5820145641400934119
code_1,23.25,1.0,code_2,code_8,code_4,0.835,code_1,code_0,0,code_0,code_1,300,1,1,0,16064392018304178410
code_1,16.5,0.125,code_2,code_8,code_4,0.165,code_0,code_0,0,code_0,code_2,132,1,0,1,1844234189206276164
code_0,20.08,0.125,code_2,code_11,code_4,1.0,code_0,code_1,1,code_0,code_2,240,769,1,0,14957802503491852837
code_1,22.33,11.0,code_2,code_9,code_4,2.0,code_1,code_1,1,code_0,code_2,80,279,1,0,2507078664209229061
code_1,34.0,5.085,code_1,code_3,code_5,1.085,code_0,code_0,0,code_1,code_2,480,1,0,1,17174591019329831173
code_0,57.08,0.335,code_2,code_3,code_5,1.0,code_1,code_0,0,code_1,code_2,252,2198,0,1,7151181591140174613
code_1,16.25,0.835,code_2,code_7,code_4,0.085,code_1,code_0,0,code_0,code_1,200,1,0,1,16080086132028219616
code_1,32.83,2.5,code_2,code_13,code_8,2.75,code_1,code_1,6,code_0,code_2,160,2073,1,0,16454760564264346219
code_1,48.25,25.085,code_2,code_9,code_4,1.75,code_1,code_1,3,code_0,code_2,120,15,1,0,7063304956315231967
code_1,34.17,2.75,code_2,code_3,code_5,2.5,code_0,code_0,0,code_1,code_2,232,201,0,1,13868994230657532540
code_1,18.33,1.21,code_1,code_10,code_2,0.0,code_0,code_0,0,code_0,code_2,100,1,0,1,5105817586220888839
code_1,44.25,0.5,code_2,code_7,code_4,10.75,code_1,code_0,0,code_0,code_1,400,1,0,1,8315144865950849514
code_1,38.92,1.75,code_2,code_4,code_4,0.5,code_0,code_0,0,code_1,code_2,300,3,0,1,2081687590012725294
code_1,31.58,0.75,code_1,code_6,code_4,3.5,code_0,code_0,0,code_1,code_2,320,1,0,1,12879226155515405164
code_1,25.08,1.71,code_2,code_14,code_4,1.665,code_1,code_1,1,code_1,code_2,395,21,1,0,2120588833822161013
code_1,65.42,11.0,code_2,code_10,code_9,20.0,code_1,code_1,7,code_1,code_2,22,1,1,0,5917284896718850902
code_1,41.33,0.0,code_2,code_8,code_5,15.0,code_1,code_0,0,code_0,code_2,0,1,1,0,9371009472691826895
code_1,31.25,1.125,code_2,code_1,code_1,0.0,code_0,code_1,1,code_0,code_2,96,20,0,1,4687687542852773155
code_0,36.75,4.71,code_2,code_1,code_1,0.0,code_0,code_0,0,code_0,code_2,160,1,0,1,9997261055689781407
code_1,32.33,7.5,code_2,code_10,code_5,1.585,code_1,code_0,0,code_1,code_1,420,1,0,1,1741463424253656566
code_0,31.92,3.125,code_2,code_1,code_1,3.04,code_0,code_1,2,code_1,code_2,200,5,0,1,8607549286794411376
code_1,24.83,2.75,code_2,code_8,code_4,2.25,code_1,code_1,6,code_0,code_2,184,601,1,0,6665639664531240135
code_1,21.92,0.54,code_1,code_14,code_4,0.04,code_1,code_1,1,code_1,code_2,840,60,1,0,17486440861565565690
code_1,34.25,3.0,code_2,code_13,code_8,7.415,code_1,code_0,0,code_1,code_2,0,1,1,0,8655414453751448982
code_1,51.83,3.0,code_1,code_1,code_1,1.5,code_0,code_0,0,code_0,code_2,180,5,0,1,1888008148424006783
code_0,31.57,1.5,code_2,code_1,code_1,0.0,code_0,code_1,2,code_1,code_2,200,106,0,1,3958934769977417963
code_1,38.42,0.705,code_2,code_8,code_4,0.375,code_0,code_1,2,code_0,code_2,225,501,0,1,14206900424065990329
code_1,39.17,1.71,code_2,code_14,code_4,0.125,code_1,code_1,5,code_1,code_2,480,1,1,0,16245811183627804859
code_1,18.17,2.46,code_2,code_8,code_7,0.96,code_0,code_1,2,code_1,code_2,160,588,0,1,9170235468046232541
code_1,39.0,5.0,code_2,code_13,code_4,3.5,code_1,code_1,10,code_1,code_2,0,1,1,0,2225648764928380786
code_1,20.0,11.045,code_2,code_8,code_4,2.0,code_0,code_0,0,code_1,code_2,136,1,0,1,5540594317281930155
code_1,32.75,2.335,code_2,code_2,code_8,5.75,code_0,code_0,0,code_1,code_2,292,1,0,1,4708842066051213571
code_1,18.58,5.71,code_2,code_2,code_4,0.54,code_0,code_0,0,code_0,code_2,120,1,0,1,7114730585905767524
code_0,15.83,7.625,code_2,code_11,code_4,0.125,code_0,code_1,1,code_1,code_2,0,161,0,1,14470655593874894927
code_1,39.33,5.875,code_2,code_13,code_8,10.0,code_1,code_1,14,code_1,code_2,399,1,1,0,12243700824062592763
code_0,19.58,0.665,code_2,code_9,code_4,1.665,code_0,code_0,0,code_0,code_2,220,6,0,1,9531780396359472645
code_1,21.33,10.5,code_2,code_8,code_4,3.0,code_1,code_0,0,code_1,code_2,0,1,1,0,14934588258541647039
code_0,22.67,0.75,code_2,code_8,code_4,2.0,code_0,code_1,2,code_1,code_2,200,395,0,1,15106374082767431655
code_1,25.67,3.25,code_2,code_8,code_8,2.29,code_0,code_1,1,code_1,code_2,416,22,0,1,16035354874037199843
code_1,21.08,10.085,code_1,code_10,code_8,1.25,code_0,code_0,0,code_0,code_2,260,1,0,1,9967867679965328527
code_0,49.0,1.5,code_2,code_5,code_3,0.0,code_1,code_0,0,code_1,code_2,100,28,0,1,3209758803150385624
code_1,20.67,5.29,code_2,code_11,code_4,0.375,code_1,code_1,1,code_0,code_2,160,1,0,1,17473522586653538880
code_0,19.67,0.21,code_2,code_11,code_8,0.29,code_1,code_1,11,code_0,code_2,80,100,1,0,9059139436831539914
code_1,21.83,0.25,code_2,code_2,code_8,0.665,code_1,code_0,0,code_1,code_2,0,1,1,0,14891313813508629159
code_1,26.83,0.54,code_2,code_4,code_1,0.0,code_0,code_0,0,code_0,code_2,100,1,0,1,11260006869522580648
code_0,38.58,5.0,code_2,code_13,code_4,13.5,code_1,code_0,0,code_1,code_2,980,1,0,1,1007909241032026884
code_0,50.08,12.54,code_2,code_6,code_4,2.29,code_1,code_1,3,code_1,code_2,156,1,1,0,14851555198266231607
code_0,15.75,0.375,code_2,code_8,code_4,1.0,code_0,code_0,0,code_0,code_2,120,19,0,1,17182859424850942322
code_0,24.5,12.75,code_2,code_8,code_5,4.75,code_1,code_1,2,code_0,code_2,73,445,1,0,17983309167863934516
code_1,21.0,4.79,code_1,code_9,code_4,2.25,code_1,code_1,1,code_1,code_2,80,301,1,0,12566854030208575702
code_1,22.08,11.0,code_2,code_13,code_4,0.665,code_1,code_0,0,code_0,code_2,100,1,1,0,9369838755696103952
code_1,54.58,9.415,code_2,code_1,code_1,14.415,code_1,code_1,11,code_1,code_2,30,301,1,0,5137287355760003207
code_1,18.08,5.5,code_2,code_4,code_4,0.5,code_1,code_0,0,code_0,code_2,80,1,1,0,7338100653657986071
code_1,36.67,4.415,code_1,code_4,code_4,0.25,code_1,code_1,10,code_1,code_2,320,1,1,0,1980312329650860381
code_1,38.17,10.125,code_2,code_14,code_4,2.5,code_1,code_1,6,code_0,code_2,520,197,1,0,6684249480872900505
code_1,21.83,1.54,code_2,code_4,code_4,0.085,code_0,code_0,0,code_1,code_2,356,1,0,1,1070659698138520727
code_0,51.92,6.5,code_2,code_3,code_5,3.085,code_0,code_0,0,code_1,code_2,73,1,0,1,9847265756624184939
code_1,22.17,2.25,code_2,code_3,code_4,0.125,code_0,code_0,0,code_0,code_2,160,11,0,1,4090246661080491466
code_1,52.42,1.5,code_2,code_2,code_4,3.75,code_0,code_0,0,code_1,code_2,0,351,0,1,5622955041141998006
code_0,60.92,5.0,code_2,code_6,code_4,4.0,code_1,code_1,4,code_0,code_2,0,100,1,0,8766713486135833350
code_1,20.17,5.625,code_2,code_9,code_4,1.71,code_1,code_0,0,code_0,code_1,120,1,1,0,539210259940378173
code_1,23.25,4.0,code_2,code_8,code_5,0.25,code_1,code_0,0,code_1,code_2,160,1,1,0,17210498509207533736
code_1,36.17,0.42,code_1,code_9,code_4,0.29,code_0,code_0,0,code_1,code_2,309,3,0,1,1083370574851849967
code_0,42.25,1.75,code_1,code_8,code_4,0.0,code_0,code_0,0,code_1,code_2,150,2,0,1,8578136176706644118
code_1,23.58,0.835,code_2,code_3,code_8,0.085,code_0,code_0,0,code_1,code_2,220,6,0,1,15637111330302509714
code_0,36.0,1.0,code_2,code_8,code_4,2.0,code_1,code_1,11,code_0,code_2,0,457,1,0,6704959048640609906
code_1,39.58,5.0,code_2,code_1,code_1,0.0,code_0,code_1,2,code_0,code_2,17,2,0,1,8412344179975349725
code_0,18.83,4.415,code_1,code_8,code_8,3.0,code_1,code_0,0,code_0,code_2,240,1,1,0,11396486598411684434
code_1,27.25,0.625,code_2,code_6,code_4,0.455,code_1,code_0,0,code_1,code_2,200,1,0,1,5524074454969322441
code_1,32.42,3.0,code_2,code_2,code_4,0.165,code_0,code_0,0,code_1,code_2,120,1,0,1,17154185347950246161
code_1,19.42,1.5,code_1,code_13,code_4,2.0,code_1,code_0,0,code_1,code_2,100,21,0,1,943862283740031325
code_0,22.58,10.75,code_2,code_11,code_4,0.415,code_1,code_1,5,code_1,code_2,0,561,1,0,4930780382914671698
code_1,39.92,6.21,code_2,code_11,code_4,0.04,code_1,code_1,1,code_0,code_2,200,301,1,0,5315577292223551118
code_1,22.67,0.165,code_2,code_8,code_3,2.25,code_0,code_0,0,code_1,code_1,0,1,1,0,4765588360877809416
code_0,23.42,0.79,code_1,code_11,code_4,1.5,code_1,code_1,2,code_1,code_2,80,401,1,0,11541568547890137782
code_0,30.0,5.29,code_2,code_10,code_2,2.25,code_1,code_1,5,code_1,code_2,99,501,1,0,17874536867551123526
code_0,40.33,7.54,code_1,code_11,code_8,8.0,code_1,code_1,14,code_0,code_2,0,2301,1,0,14720025070089105713
code_0,36.75,5.125,code_2,code_10,code_4,5.0,code_1,code_0,0,code_1,code_2,0,4001,1,0,8029259544155300329
code_1,31.0,2.085,code_2,code_8,code_4,0.085,code_0,code_0,0,code_0,code_2,300,1,0,1,2205930140571526954
code_0,25.17,2.875,code_2,code_14,code_8,0.875,code_1,code_0,0,code_0,code_2,360,1,1,0,16645026450929434876
code_1,27.42,12.5,code_2,code_6,code_5,0.25,code_0,code_0,0,code_1,code_2,720,1,0,1,14113350631333376485
code_1,31.57,4.0,code_2,code_14,code_4,5.0,code_1,code_1,3,code_1,code_2,290,2280,1,0,17586543318636320808
code_1,34.08,6.5,code_2,code_6,code_4,0.125,code_1,code_0,0,code_1,code_2,443,1,0,1,4567481072941817382
code_1,22.08,2.335,code_2,code_4,code_4,0.75,code_0,code_0,0,code_0,code_2,180,1,0,1,16519543410209252628
code_1,31.08,3.085,code_2,code_8,code_4,2.5,code_0,code_1,2,code_1,code_2,160,42,0,1,12747390022710613629
code_1,31.57,0.5,code_2,code_8,code_5,0.835,code_1,code_0,0,code_1,code_1,320,1,0,1,17012659952335143059
code_1,16.0,3.125,code_2,code_9,code_4,0.085,code_0,code_1,1,code_0,code_2,0,7,0,1,16188869693699931011
code_1,27.25,1.665,code_2,code_13,code_8,5.085,code_1,code_1,9,code_0,code_2,399,828,1,0,2357215672493298267
code_1,25.17,3.0,code_2,code_8,code_4,1.25,code_0,code_1,1,code_0,code_2,0,23,0,1,2942216448220824056
code_1,67.75,5.5,code_2,code_10,code_9,13.0,code_1,code_1,1,code_1,code_2,0,1,1,0,11379883477668126644
code_0,18.83,9.5,code_2,code_9,code_4,1.625,code_1,code_1,6,code_1,code_2,40,601,1,0,8094675518002225534
code_0,27.25,0.29,code_2,code_7,code_8,0.125,code_0,code_1,1,code_1,code_2,272,109,0,1,18305679436165915757
code_0,19.58,0.665,code_1,code_8,code_4,1.0,code_0,code_1,1,code_0,code_2,2000,3,0,1,17788333605569760831
code_1,30.75,1.585,code_2,code_2,code_4,0.585,code_0,code_0,0,code_1,code_1,0,1,0,1,16386454380993945609
code_0,50.25,0.835,code_2,code_6,code_4,0.5,code_0,code_0,0,code_1,code_2,240,118,0,1,13137914424548317515
code_1,31.08,1.5,code_1,code_9,code_4,0.04,code_0,code_0,0,code_0,code_1,160,1,0,1,16059403317998364939
code_1,51.58,15.0,code_2,code_8,code_4,8.5,code_1,code_1,9,code_0,code_2,0,1,1,0,11584673790899738299
code_0,36.58,0.29,code_2,code_1,code_1,0.0,code_0,code_1,10,code_0,code_2,200,19,0,1,8458186959196009491
code_1,33.58,2.75,code_2,code_7,code_4,4.25,code_1,code_1,6,code_0,code_2,204,1,1,0,5523226561355697496
code_0,20.83,3.0,code_2,code_6,code_4,0.04,code_1,code_0,0,code_0,code_2,100,1,1,0,15156775636316364915
code_1,36.17,18.125,code_2,code_9,code_4,0.085,code_0,code_0,0,code_0,code_2,320,3553,0,1,12237047526890000065
code_1,50.75,0.585,code_2,code_1,code_1,0.0,code_0,code_0,0,code_0,code_2,145,1,0,1,7397674538679583368
code_0,23.58,0.83,code_2,code_11,code_4,0.415,code_0,code_1,1,code_1,code_2,200,12,0,1,8729887633788125415
code_1,35.17,4.5,code_2,code_14,code_8,5.75,code_0,code_0,0,code_1,code_1,711,1,1,0,4812384283654673152
code_0,58.42,21.0,code_2,code_3,code_5,10.0,code_1,code_1,13,code_0,code_2,0,6701,1,0,17397031268440044004
code_1,28.25,0.875,code_2,code_7,code_4,0.96,code_1,code_1,3,code_1,code_2,396,1,1,0,16323932050752070299
code_1,31.57,0.625,code_2,code_4,code_4,0.25,code_0,code_0,0,code_0,code_2,380,2011,0,1,13776660870299883397
code_0,31.75,3.0,code_1,code_5,code_3,0.0,code_0,code_0,0,code_0,code_2,160,21,0,1,7115406007834588711
code_1,19.42,6.5,code_2,code_9,code_8,1.46,code_1,code_1,7,code_0,code_2,80,2955,1,0,3224874890088370862
code_1,39.08,6.0,code_2,code_7,code_4,1.29,code_1,code_1,5,code_1,code_2,108,1098,1,0,6752141557012013068
code_1,17.08,3.29,code_2,code_3,code_4,0.335,code_0,code_0,0,code_1,code_2,140,3,0,1,16099762086933677419
code_1,44.83,7.0,code_1,code_8,code_4,1.625,code_0,code_0,0,code_0,code_2,160,3,0,1,3624183928650347589
code_1,16.25,0.0,code_1,code_6,code_4,0.25,code_0,code_0,0,code_0,code_2,60,1,0,1,14216973040127135108
code_0,41.17,6.5,code_2,code_11,code_4,0.5,code_1,code_1,3,code_1,code_2,145,1,1,0,10027520899568964182
code_1,28.92,15.0,code_2,code_8,code_8,5.335,code_1,code_1,11,code_0,code_2,0,2284,1,0,1406821289672698259
code_0,26.17,2.0,code_2,code_5,code_3,0.0,code_0,code_0,0,code_1,code_2,276,2,0,1,517896451340405977
code_1,38.58,3.335,code_2,code_9,code_4,4.0,code_1,code_1,14,code_0,code_2,383,1345,1,0,13968596611403365837
code_1,25.17,6.0,code_2,code_8,code_4,1.0,code_1,code_1,3,code_0,code_2,0,1,1,0,14465560059210661411
code_0,28.17,0.375,code_2,code_11,code_4,0.585,code_1,code_1,4,code_0,code_2,80,1,1,0,5609971246966813279
code_1,73.42,17.75,code_2,code_1,code_1,0.0,code_1,code_0,0,code_1,code_2,0,1,1,0,14203184694058565923
code_1,22.5,11.5,code_1,code_7,code_4,1.5,code_0,code_0,0,code_1,code_2,0,4001,0,1,7034626352876910369
code_0,27.17,1.25,code_2,code_1,code_1,0.0,code_0,code_1,1,code_0,code_2,92,301,0,1,3363498856037806592
code_0,19.17,8.585,code_2,code_13,code_8,0.75,code_1,code_1,7,code_0,code_2,96,1,1,0,15102887839867749891
code_0,25.58,0.0,code_2,code_8,code_4,0.0,code_0,code_0,0,code_0,code_3,184,1,1,0,6184339281870205531
code_1,31.57,0.04,code_1,code_2,code_4,4.25,code_0,code_0,0,code_1,code_2,460,1,0,1,12909581257653043586
code_0,22.5,8.5,code_2,code_11,code_4,1.75,code_1,code_1,10,code_0,code_2,80,991,0,1,13580438805071156658
code_0,22.92,1.25,code_2,code_11,code_4,0.25,code_0,code_0,0,code_1,code_2,120,810,0,1,15759148901384631607
code_1,23.25,12.625,code_2,code_8,code_4,0.125,code_0,code_1,2,code_0,code_2,0,5553,0,1,9410414975670408784
code_0,29.5,1.085,code_1,code_14,code_4,1.0,code_0,code_0,0,code_0,code_2,280,14,0,1,13929449659402784366
code_0,32.0,6.0,code_2,code_2,code_4,1.25,code_0,code_0,0,code_0,code_2,272,1,0,1,13800538804347950814
code_1,27.0,1.5,code_1,code_9,code_4,0.375,code_1,code_0,0,code_1,code_2,260,1066,1,0,14971299151558699191
code_1,19.33,10.915,code_2,code_8,code_5,0.585,code_0,code_1,2,code_1,code_2,200,8,0,1,3311341861500294790
code_1,35.75,2.415,code_2,code_9,code_4,0.125,code_0,code_1,2,code_0,code_2,220,2,0,1,11188379864479824959
code_1,18.83,0.0,code_2,code_11,code_4,0.665,code_0,code_0,0,code_0,code_2,160,2,0,1,5321020728798543943
code_0,28.75,3.75,code_2,code_8,code_4,1.085,code_1,code_1,1,code_1,code_2,371,1,1,0,5160636052094067611
code_1,34.42,4.25,code_2,code_3,code_5,3.25,code_1,code_1,2,code_0,code_2,274,611,1,0,17063295497150268518
code_0,33.25,3.0,code_1,code_6,code_4,2.0,code_0,code_0,0,code_0,code_2,180,1,0,1,17792240988616345095
code_1,53.92,9.625,code_2,code_10,code_4,8.665,code_1,code_1,5,code_0,code_2,0,1,1,0,17040945891408658002
code_1,25.25,1.0,code_2,code_6,code_4,0.5,code_0,code_0,0,code_0,code_2,200,1,0,1,6728050245509701759
code_1,32.42,2.165,code_1,code_4,code_1,0.0,code_0,code_0,0,code_0,code_2,120,1,0,1,17758211936410132656
code_0,21.08,5.0,code_1,code_1,code_1,0.0,code_0,code_0,0,code_0,code_2,0,1,0,1,12983108168103260331
code_0,56.5,16.0,code_2,code_5,code_1,0.0,code_1,code_1,15,code_0,code_2,0,248,1,0,1707153114545737947
code_1,32.25,0.165,code_1,code_8,code_8,3.25,code_1,code_1,1,code_1,code_2,432,8001,1,0,1946137359050477670
code_0,20.5,11.835,code_2,code_8,code_8,6.0,code_1,code_0,0,code_0,code_2,340,1,1,0,13927320113775193564
code_0,30.25,5.5,code_2,code_4,code_4,5.5,code_0,code_0,0,code_1,code_1,100,1,0,1,3045356115949748004
code_0,24.58,0.67,code_2,code_6,code_8,1.75,code_1,code_0,0,code_0,code_2,400,1,0,1,13816357407375875439
code_1,23.17,11.125,code_2,code_14,code_8,0.46,code_1,code_1,1,code_0,code_2,100,1,1,0,8406173327621768185
code_0,31.57,11.25,code_2,code_1,code_1,0.0,code_0,code_0,0,code_0,code_2,184,5201,0,1,13388063450656761305
code_0,32.33,0.54,code_2,code_13,code_4,0.04,code_1,code_0,0,code_0,code_2,440,11178,1,0,9864139389437768944
code_1,23.92,1.5,code_2,code_2,code_8,1.875,code_1,code_1,6,code_0,code_2,200,328,1,0,5110951024692242108
code_1,36.75,0.125,code_1,code_8,code_4,1.5,code_0,code_0,0,code_1,code_2,232,114,1,0,6359532283913547443
code_1,29.83,1.25,code_1,code_4,code_4,0.25,code_0,code_0,0,code_0,code_2,224,1,0,1,14851173498435929934
code_0,24.08,0.5,code_2,code_11,code_8,1.25,code_1,code_1,1,code_0,code_2,0,679,1,0,4630626323646966939
code_1,21.17,0.25,code_1,code_8,code_8,0.25,code_0,code_0,0,code_0,code_2,280,205,0,1,9229626650307151602
code_1,31.42,15.5,code_2,code_8,code_4,0.5,code_1,code_0,0,code_0,code_2,120,1,0,1,7242515811886245409
code_1,22.83,3.0,code_2,code_7,code_4,1.29,code_1,code_1,1,code_0,code_2,260,801,1,0,16191738715496003274
code_1,37.5,1.75,code_1,code_8,code_5,0.25,code_1,code_0,0,code_1,code_2,164,401,0,1,9202107855704309425
code_0,24.83,4.5,code_2,code_9,code_4,1.0,code_0,code_0,0,code_1,code_2,360,7,0,1,3707569154491726198
code_1,36.33,3.79,code_2,code_9,code_4,1.165,code_1,code_0,0,code_1,code_2,200,1,0,1,12892223998045904196
code_0,47.25,0.75,code_2,code_11,code_8,2.75,code_1,code_1,1,code_0,code_2,333,893,1,0,12527035090002062647
code_1,32.08,4.0,code_1,code_13,code_4,1.5,code_0,code_0,0,code_1,code_2,120,1,0,1,9715414978222369475
code_0,30.58,10.665,code_2,code_11,code_8,0.085,code_0,code_1,12,code_1,code_2,129,4,0,1,4020448027589377250
code_1,27.83,1.54,code_2,code_9,code_4,3.75,code_1,code_1,5,code_1,code_2,100,4,1,0,6953245528245196447
code_1,54.83,15.5,code_2,code_10,code_9,0.0,code_1,code_1,20,code_0,code_2,152,131,0,1,647826738415529701
code_1,16.08,0.75,code_2,code_8,code_4,1.75,code_1,code_1,5,code_1,code_2,352,691,1,0,8618556878124860711
code_1,24.58,12.5,code_2,code_9,code_4,0.875,code_1,code_0,0,code_1,code_2,260,1,0,1,6858914985561316636
code_1,32.67,5.5,code_2,code_11,code_8,5.5,code_1,code_1,12,code_1,code_2,408,1001,1,0,11368533199649081733
code_1,30.17,0.5,code_2,code_8,code_4,1.75,code_1,code_1,11,code_0,code_2,32,541,1,0,1048138933277458340
code_1,22.25,0.46,code_2,code_4,code_4,0.125,code_0,code_0,0,code_1,code_2,280,56,0,1,937315536970767980
code_1,41.75,0.96,code_2,code_14,code_4,2.5,code_1,code_0,0,code_0,code_2,510,601,1,0,6611507343066764105
code_1,36.67,2.0,code_2,code_3,code_4,0.25,code_0,code_0,0,code_1,code_2,221,1,0,1,10523703635752106084
code_1,25.83,12.835,code_2,code_13,code_4,0.5,code_0,code_0,0,code_0,code_2,0,3,0,1,4814085225311345947
code_1,29.92,1.835,code_2,code_8,code_8,4.335,code_1,code_0,0,code_0,code_2,260,201,1,0,8405822867434662988
code_1,20.08,0.25,code_2,code_11,code_4,0.125,code_0,code_0,0,code_0,code_2,200,1,0,1,3444370242419418101
code_1,19.67,0.375,code_2,code_11,code_4,2.0,code_1,code_1,2,code_1,code_2,80,1,1,0,6337028190138884965
code_1,51.42,0.04,code_2,code_14,code_8,0.04,code_1,code_0,0,code_0,code_2,0,3001,1,0,7955707274963795955
